Datum,Konto,Art,Betrag,Kategorie,Beschreibung
2023-07-07,账户1,支出,6.9,餐饮,消费1
2023-07-07,账户1,支出,35.52,杂货,消费2
2023-07-06,账户1,支出,15,日常开支,消费3
2023-07-06,账户1,支出,10,餐饮,消费4
2023-07-06,账户1,支出,23.82,日常开支,消费5
2023-07-05,账户1,支出,123.46,购物,消费6
2023-07-05,账户1,支出,49,交通,消费7
2023-07-05,账户1,支出,223.2,旅游,消费8
2023-07-05,账户1,支出,10,餐饮,消费4
2023-07-04,账户1,支出,7.33,杂货,消费9
2023-07-04,账户1,支出,27.5,购物,消费10
2023-07-03,账户1,支出,27.55,杂货,消费11
2023-07-03,账户1,支出,35.37,杂货,消费12
2023-07-03,账户1,支出,1185,住宅,消费13
2023-07-03,账户1,支出,24,运动,消费14
2023-07-03,账户2,支出,5.5,餐饮,消费15
2023-07-07,账户3,支出,24,购物,消费16
2023-07-06,账户3,支出,6.99,日常开支,消费17
2023-07-06,账户3,支出,5.74,餐饮,消费18
2023-07-05,账户3,支出,49,交通,消费7
2023-07-03,账户3,支出,24,运动,消费14
2023-07-03,账户3,支出,2.55,杂货,消费19
2023-07-14,账户1,支出,11.4,餐饮,消费1
2023-07-14,账户1,支出,3.58,杂货,消费20
2023-07-14,账户1,支出,17.45,购物,消费21
2023-07-14,账户1,支出,21.8,餐饮,消费22
2023-07-13,账户1,支出,6.99,日常开支,消费17
2023-07-13,账户1,支出,20,餐饮,消费4
2023-07-12,账户1,支出,10.58,餐饮,消费23
2023-07-12,账户1,支出,15.17,餐饮,消费18
2023-07-12,账户1,支出,10,餐饮,消费4
2023-07-11,账户1,支出,3.09,杂货,消费2
2023-07-10,账户1,支出,28.63,杂货,消费11
2023-07-10,账户1,支出,2.75,杂货,消费19
2023-07-10,账户1,支出,44.92,餐饮,消费24
2023-07-20,账户1,支出,1,杂货,消费25
2023-07-20,账户1,退款,1,杂货,消费25
